"","Sample_ID","Sample_date","Sample_site","Response","Value"
"390","20000822-29-905",2000-08-22,"29-905","Lepto",2.14629949805132
"391","20000822-36-873",2000-08-22,"36-873","Lepto",12.156394469986
"392","20000822-37-890",2000-08-22,"37-890","Lepto",14.5646163297147
"393","20000824-3-996",2000-08-24,"3-996","Lepto",0
"394","20000824-8-994",2000-08-24,"8-994","Lepto",0
"395","20000918-14-972",2000-09-18,"14-972","Lepto",2.43635416732847
"396","20000918-16-970",2000-09-18,"16-970","Lepto",2.28548882548336
"397","20000918-27-918",2000-09-18,"27-918","Lepto",0.400504057343801
"398","20000918-29-905",2000-09-18,"29-905","Lepto",0
"399","20000918-3-996",2000-09-18,"3-996","Lepto",0
"400","20000918-36-873",2000-09-18,"36-873","Lepto",0.793669229117043
"401","20000918-37-890",2000-09-18,"37-890","Lepto",4.11911403373983
"402","20000918-8-994",2000-09-18,"8-994","Lepto",0
"403","20010430-14-972",2001-04-30,"14-972","Lepto",0
"404","20010430-16-970",2001-04-30,"16-970","Lepto",0
"405","20010430-27-918",2001-04-30,"27-918","Lepto",0
"406","20010430-29-905",2001-04-30,"29-905","Lepto",0
"407","20010430-3-996",2001-04-30,"3-996","Lepto",0
"408","20010430-36-873",2001-04-30,"36-873","Lepto",0
"409","20010430-37-890",2001-04-30,"37-890","Lepto",0.0344368618920967
"410","20010430-8-994",2001-04-30,"8-994","Lepto",0.311116298149655
"411","20010514-14-972",2001-05-14,"14-972","Lepto",0.754992645080071
"412","20010514-16-970",2001-05-14,"16-970","Lepto",0
"413","20010514-27-918",2001-05-14,"27-918","Lepto",0.119660633955421
